date,product,category,region,sales,units,profit,discount
2024-01-03,Laptop Pro,Electronics,North,1200.50,2,360.15,0.05
2024-01-05,Wireless Mouse,Electronics,South,45.99,15,18.40,0.10
2024-01-07,Office Chair,Furniture,East,349.00,3,104.70,0.0
2024-01-09,Notebook Set,Stationery,West,12.50,50,5.00,0.0
2024-01-10,Laptop Pro,Electronics,South,1200.50,1,360.15,0.05
2024-01-11,Standing Desk,Furniture,North,599.00,2,179.70,0.08
2024-01-13,USB-C Hub,Electronics,East,35.00,25,14.00,0.0
2024-01-15,Webcam HD,Electronics,West,89.99,8,26.99,0.10
2024-01-17,Ergonomic Chair,Furniture,North,450.00,4,135.00,0.05
2024-01-19,Sticky Notes,Stationery,South,3.99,200,1.60,0.0
2024-01-21,Monitor 27in,Electronics,East,320.00,5,96.00,0.10
2024-01-23,Laptop Bag,Accessories,West,59.00,12,17.70,0.0
2024-01-25,Mechanical Keyboard,Electronics,North,129.99,7,39.00,0.05
2024-01-27,Desk Lamp,Furniture,South,39.99,20,12.00,0.0
2024-01-29,Laptop Pro,Electronics,East,1200.50,3,360.15,0.05
2024-01-31,Wireless Headphones,Electronics,West,199.99,6,60.00,0.15
2024-02-02,Office Chair,Furniture,North,349.00,5,104.70,0.0
2024-02-04,Notebook Set,Stationery,South,12.50,80,5.00,0.0
2024-02-06,USB-C Hub,Electronics,East,35.00,30,14.00,0.0
2024-02-08,Standing Desk,Furniture,West,599.00,1,179.70,0.08
2024-02-10,Webcam HD,Electronics,North,89.99,10,26.99,0.10
2024-02-12,Mechanical Keyboard,Electronics,South,129.99,9,39.00,0.05
2024-02-14,Laptop Bag,Accessories,East,59.00,18,17.70,0.0
2024-02-16,Monitor 27in,Electronics,West,320.00,7,96.00,0.10
2024-02-18,Ergonomic Chair,Furniture,North,450.00,2,135.00,0.05
2024-02-20,Sticky Notes,Stationery,South,3.99,150,1.60,0.0
2024-02-22,Laptop Pro,Electronics,East,1200.50,4,360.15,0.05
2024-02-24,Desk Lamp,Furniture,West,39.99,25,12.00,0.0
2024-02-26,Wireless Mouse,Electronics,North,45.99,20,18.40,0.10
2024-02-28,Wireless Headphones,Electronics,South,199.99,4,60.00,0.15
2024-03-01,Office Chair,Furniture,East,349.00,6,104.70,0.0
2024-03-03,USB-C Hub,Electronics,West,35.00,40,14.00,0.0
2024-03-05,Notebook Set,Stationery,North,12.50,100,5.00,0.0
2024-03-07,Laptop Pro,Electronics,South,1200.50,2,360.15,0.05
2024-03-09,Standing Desk,Furniture,East,599.00,3,179.70,0.08
2024-03-11,Webcam HD,Electronics,West,89.99,12,26.99,0.10
2024-03-13,Mechanical Keyboard,Electronics,North,129.99,11,39.00,0.05
2024-03-15,Monitor 27in,Electronics,South,320.00,9,96.00,0.10
2024-03-17,Laptop Bag,Accessories,East,59.00,22,17.70,0.0
2024-03-19,Ergonomic Chair,Furniture,West,450.00,3,135.00,0.05
2024-03-21,Wireless Mouse,Electronics,North,45.99,18,18.40,0.10
2024-03-23,Desk Lamp,Furniture,South,39.99,30,12.00,0.0
2024-03-25,Laptop Pro,Electronics,East,1200.50,5,360.15,0.05
2024-03-27,Wireless Headphones,Electronics,West,199.99,8,60.00,0.15
2024-03-29,Sticky Notes,Stationery,North,3.99,250,1.60,0.0
2024-03-31,USB-C Hub,Electronics,South,35.00,35,14.00,0.0
2024-04-02,Office Chair,Furniture,East,349.00,4,104.70,0.0
2024-04-04,Notebook Set,Stationery,West,12.50,120,5.00,0.0
2024-04-06,Standing Desk,Furniture,North,599.00,4,179.70,0.08
2024-04-08,Monitor 27in,Electronics,South,320.00,10,96.00,0.10
2024-04-10,Laptop Pro,Electronics,East,1200.50,3,360.15,0.05
2024-04-12,Mechanical Keyboard,Electronics,West,129.99,13,39.00,0.05
2024-04-14,Webcam HD,Electronics,North,89.99,15,26.99,0.10
2024-04-16,Laptop Bag,Accessories,South,59.00,20,17.70,0.0
2024-04-18,Ergonomic Chair,Furniture,East,450.00,5,135.00,0.05
2024-04-20,Wireless Mouse,Electronics,West,45.99,22,18.40,0.10
2024-04-22,Desk Lamp,Furniture,North,39.99,18,12.00,0.0
2024-04-24,Wireless Headphones,Electronics,South,199.99,10,60.00,0.15
2024-04-26,Sticky Notes,Stationery,East,3.99,180,1.60,0.0
2024-04-28,USB-C Hub,Electronics,West,35.00,45,14.00,0.0
2024-04-30,Laptop Pro,Electronics,North,1200.50,6,360.15,0.05
2024-05-02,Office Chair,Furniture,South,349.00,7,104.70,0.0
2024-05-04,Notebook Set,Stationery,East,12.50,90,5.00,0.0
2024-05-06,Standing Desk,Furniture,West,599.00,2,179.70,0.08
2024-05-08,Monitor 27in,Electronics,North,320.00,11,96.00,0.10
2024-05-10,Mechanical Keyboard,Electronics,South,129.99,14,39.00,0.05
2024-05-12,Laptop Pro,Electronics,East,1200.50,4,360.15,0.05
2024-05-14,Webcam HD,Electronics,West,89.99,9,26.99,0.10
2024-05-16,Laptop Bag,Accessories,North,59.00,16,17.70,0.0
2024-05-18,Ergonomic Chair,Furniture,South,450.00,6,135.00,0.05
2024-05-20,Wireless Mouse,Electronics,East,45.99,25,18.40,0.10
2024-05-22,Desk Lamp,Furniture,West,39.99,22,12.00,0.0
2024-05-24,Wireless Headphones,Electronics,North,199.99,12,60.00,0.15
2024-05-26,Sticky Notes,Stationery,South,3.99,200,1.60,0.0
2024-05-28,USB-C Hub,Electronics,East,35.00,50,14.00,0.0
2024-05-30,Laptop Pro,Electronics,West,1200.50,2,360.15,0.05
2024-06-01,Office Chair,Furniture,North,349.00,8,104.70,0.0
2024-06-03,Notebook Set,Stationery,South,12.50,110,5.00,0.0
2024-06-05,Standing Desk,Furniture,East,599.00,5,179.70,0.08
2024-06-07,Monitor 27in,Electronics,West,320.00,12,96.00,0.10
2024-06-09,Laptop Pro,Electronics,North,1200.50,7,360.15,0.05
2024-06-11,Mechanical Keyboard,Electronics,South,129.99,16,39.00,0.05
2024-06-13,Webcam HD,Electronics,East,89.99,11,26.99,0.10
2024-06-15,Laptop Bag,Accessories,West,59.00,24,17.70,0.0
2024-06-17,Ergonomic Chair,Furniture,North,450.00,7,135.00,0.05
2024-06-19,Wireless Mouse,Electronics,South,45.99,30,18.40,0.10
2024-06-21,Desk Lamp,Furniture,East,39.99,28,12.00,0.0
2024-06-23,Wireless Headphones,Electronics,West,199.99,14,60.00,0.15
2024-06-25,Sticky Notes,Stationery,North,3.99,300,1.60,0.0
2024-06-27,USB-C Hub,Electronics,South,35.00,55,14.00,0.0
2024-06-29,Laptop Pro,Electronics,East,1200.50,8,360.15,0.05
2024-07-01,Office Chair,Furniture,West,349.00,6,104.70,0.0
2024-07-03,Notebook Set,Stationery,North,12.50,130,5.00,0.0
2024-07-05,Standing Desk,Furniture,South,599.00,3,179.70,0.08
2024-07-07,Monitor 27in,Electronics,East,320.00,14,96.00,0.10
2024-07-09,Mechanical Keyboard,Electronics,West,129.99,18,39.00,0.05
2024-07-11,Laptop Pro,Electronics,North,1200.50,5,360.15,0.05
2024-07-13,Webcam HD,Electronics,South,89.99,13,26.99,0.10
2024-07-15,Laptop Bag,Accessories,East,59.00,28,17.70,0.0
2024-07-17,Ergonomic Chair,Furniture,West,450.00,4,135.00,0.05
2024-07-19,Wireless Mouse,Electronics,North,45.99,35,18.40,0.10
2024-07-21,Desk Lamp,Furniture,South,39.99,32,12.00,0.0
2024-07-23,Wireless Headphones,Electronics,East,199.99,16,60.00,0.15
2024-07-25,Sticky Notes,Stationery,West,3.99,220,1.60,0.0
2024-07-27,USB-C Hub,Electronics,North,35.00,60,14.00,0.0
2024-07-29,Laptop Pro,Electronics,South,1200.50,6,360.15,0.05
2024-07-31,Office Chair,Furniture,East,349.00,9,104.70,0.0
2024-08-02,Notebook Set,Stationery,West,12.50,150,5.00,0.0
